Artist,Title,Collection Price
Nancy Sinatra & Lee Hazlewood,Nancy & Lee,10
Trini Lopez,The Love Album,3
The Kinks,Face To Face,20
John Cougar Mellencamp,American Fool,5
Ron Williams,I'll Never Be The Same ,15
Bee Gees,Spirits Having Flown,5
Yvonne Elliman,Love Me,3
Claudja Barry,Claudja,3
Various,Al Jolson On The Silver Screen ,3
Dionne Warwick,Dionne!,3
B.J. Thomas,Country,3
B.J. Thomas,Country,3
Eddie Kochak,Strictly Belly Dancing Volume 2,3
Richard Pugh,Turn Me Around,10
Tret Fure,Terminal Hold,3
"Teresa Trull, Barbara Higbie",Unexpected,3
Jay Gardner (2) And  The Wranglers (3),Some Favorites Of Mine,10
Lena Horne & Gabor Szabo,Lena & Gabor,5
Deanna Edwards,"Music, Laughter & Tears",3
Dionne Warwick,More Greatest Hits,3
Ferrante & Teicher,The Soft Touch,3
Don Francisco (2),High Praise,5
Daughn Gibson,Carnation,7
Bud Shank,I Hear Music,3
Sunshade 'N Rain,Naturally,5
Detective,It Takes One To Know One,3
Mike Snider (3),Live at the Station Inn,7
Richard 'Dimples' Fields,Dimples,3
"Cris Williamson, Jackie Robbins (2), June Millington",Live Dream,3
The Brothers Cazimero,The Sound Of The Sea Surrounds Me,5
The Moody Blues,Seventh Sojourn,3
Hargus Robbins,A Bit Of Country Piano,3
Dorothy Matar,Golden Bells,7
Leonard Kwan,Slack Key,10
Scotty McCreery,Seasons Change,60
Chucho Avellanet,Entre Los Dos,3
Brass Construction,Brass Construction II,3
Crystal Gayle,We Must Believe In Magic,3
Slim Whitman,Home On The Range,3
The Tim Weisberg Band,Rotations,3
Crystal Gayle,When I Dream,3
Ronnie Laws,Flame,5
Ferrante & Teicher,Golden Piano Hits,3
Ferrante & Teicher,For Lovers Of All Ages,3
Vikki Carr,The Best Of Vikki Carr,3
Bob Wills & Tommy Duncan,Hall Of Fame,7
Joan Baez,Joan Baez Vol. 2,3
Joan Baez,Joan Baez In Concert Part 2 ,3
Joan Baez,Blessed Are...,5
The Righteous Brothers,Souled Out,3
Jimmy Smith,Peter & The Wolf,5
Lalo Schifrin,Insensatez,10
Johnny Hates Jazz,Shattered Dreams,5
Earl Grant,Send For Me,3
Loretta Lynn,Alone With You,3
Mason Williams,The Mason Williams Phonograph Record,3
David Frizzell & Shelly West,Our Best To You,3
Gary Wright,The Dream Weaver,3
Stuff (2),Stuff,7
Leo Sayer,Thunder In My Heart,3
Leo Sayer,Thunder In My Heart,3
Seals & Crofts,The Longest Road,3
Emmylou Harris,Light Of The Stable-The Christmas Album,5
Al Jarreau,Breakin' Away,3
Christopher Cross,Another Page,3
Manfred Mann's Earth Band,Nightingales & Bombers,3
Stuff (2),Stuff It!,3
Randy Newman,The Natural,5
Alex De Grassi,Slow Circle,3
"Charles Gross Featuring Windham Hill Artists George Winston, Darol Anger, Mark Isham, Mike Marshall (2)",Country (An Original Soundtrack Album),3
Dr. Charles S. Kendall,Morning Chimes,3
Evie (2),Gentle Moments,3
Evie (2),"Come On, Ring Those Bells",3
Evie (2),A Little Song Of Joy For My Little Friends,3
The Dawnbusters (2),The Big Country,3
