Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
T-2311,The Nat King Cole Trio,Original Vocal And Instrumental Recordings Of The Easy Listenin' Favorites,Capitol Records,"LP, Mono, RE",,1965,6053516,Record Collection #111,2026-01-23 15:00:38,,,
WAO-990,Meredith Willson,The Music Man - Original Broadway Cast,Capitol Records,"LP, Album, Mono, Gat",,1958,4765706,Record Collection #106,2025-10-27 19:22:21,,,
"SMAS-829, SMAS 829",Seatrain,The Marblehead Messenger,"Capitol Records, Capitol Records","LP, Album, Los",,1971,2537497,Record Collection #100,2025-08-13 08:32:53,,,
"ST 2419, ST-2419",Laurindo Almeida And The San Fernando Guitars,New Broadway-Hollywood Hits,"Capitol Records, Capitol Records","LP, Album",,1965,3717089,Record Collection #98,2025-07-08 14:29:45,,,A
"ST 2928, ST-2928",Bobbie Gentry And Glen Campbell,Bobbie Gentry And Glen Campbell,"Capitol Records, Capitol Records","LP, Album, Los",,1968,13761988,Record Collection #106,2025-10-24 15:25:04,,,A
"ST 2978, ST-2978",Glen Campbell,That Christmas Feeling,"Capitol Records, Capitol Records","LP, Album, RE, Win",,1971,3523210,Record Collection #111,2026-01-28 21:23:33,5,,A
"SW 990, SW-990",Meredith Willson,Meredith Wilson's The Music Man - Original Cast,"Capitol Records, Capitol Records","LP, Album, RE, Scr",,1962,5517654,Record Collection #106,2025-10-24 15:02:07,,,
"T 2482, T-2482",Charlie Louvin,Lonesome Is Me,"Capitol Records, Capitol Records","LP, Album, Mono",,1966,19517023,Record Collection #113,2026-02-02 18:54:31,,,
"T768, T-768",Frank Sinatra,This Is Sinatra!,"Capitol Records, Capitol Records","LP, Comp, Mono, RE, Gol",,1962,10779354,Record Collection #114,2026-03-02 20:38:57,5,,A
"SMAS 2653, SMAS-2653, 2653",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Capitol Records, Capitol Records, Capitol Records","LP, Album, Scr",,1967,8470688,Record Collection #117,2026-04-02 13:57:24,10,,A
SW-11516,Glen Campbell,Bloodline,"Capitol Records, Haven Records","LP, Album, Jac",,1976,15497458,Record Collection #111,2026-01-23 13:41:35,,,A
B001995301,Sam Smith (12),In The Lonely Hour,"Capitol Records, Method Records (4)","LP, Album",,2014,6641013,Record Collection #117,2026-04-02 15:34:54,10,,A
CP 0123,Dickey Betts,Highway Call,Capricorn Records,"LP, Album",,1974,6067657,Record Collection #114,2026-02-23 07:01:14,7,,A
CP 0125,Maxayn,Bail Out For Fun!,Capricorn Records,"LP, Album, Promo",,1974,5878550,Record Collection #114,2026-03-17 07:30:10,,,
CPK 0180,The Marshall Tucker Band,Carolina Dreams,Capricorn Records,"LP, Album, Jac",,1977,8053706,Record Collection #103,2025-08-29 08:48:14,,,
NBLP 7144,Village People,Go West,Casablanca,"LP, Album, 60/",,1979,3224757,Record Collection #106,2025-10-31 19:44:14,,,
NBLP 7239,Mac Davis,Texas In My Rear View Mirror,Casablanca,"LP, Album, PRC",,1980,2758715,Record Collection #98,2026-04-01 22:18:54,,,
"422-811 492-1 M1, 811492-1 M-1",Various,Flashdance (Original Soundtrack From The Motion Picture),"Casablanca, Casablanca","LP, Album, 53 ",,1983,2550803,Record Collection #105,2025-09-26 10:01:50,,,
"NBLP 7119-2, NBLP 7119",Donna Summer,Live And More,"Casablanca, Casablanca","2xLP, Album, Ter",,1978,16110207,Record Collection #106,2025-10-24 14:43:26,,,
"NBLP 7119-2, NBLP 7119",Donna Summer,Live And More,"Casablanca, Casablanca","2xLP, Album, Spe",,1978,833817,Record Collection #106,2025-10-27 19:23:20,,,
CYS 1372,Norman Ponce,Norman Ponce,Caytronics,"LP, Album",,1973,13142972,Record Collection #111,2026-01-25 10:34:06,10,,A
P14823,"Andy Williams, The Voices Of Christmas",Christmas With Andy Williams / Christmas With The Voices Of Christmas,CBS,"LP, Album, Comp",,1978,7744281,Record Collection #111,2026-01-23 13:16:28,,,
M 35873,Various,Kramer Vs. Kramer (Soundtrack),CBS Masterworks,"LP, Comp, Ter",,1980,12681486,Record Collection #103,2025-08-29 11:23:37,,,
M 36732,Liona Boyd,Miniatures For Guitar,CBS Masterworks,"LP, Pit",,1981,18852217,Record Collection #105,2025-09-26 11:43:00,,,A
"FM 37248, 37248",Liona Boyd,A Guitar For Christmas = Eine Gitarre Für Weihnachten = Une Guitare Pour Noël,"CBS, CBS",LP,,1981,14702494,Record Collection #105,2025-09-22 19:32:54,,,A
P 15430,Various,Christmas Encores,"CBS, Columbia Special Products","LP, Comp",,1981,5456333,Record Collection #106,2025-10-17 18:33:15,,,A
UTS-168,The Lone Riders,Cowboy Songs Of The West,Celebrity Records (3),"LP, Album",,0,13447470,Record Collection #106,2025-10-17 17:00:36,,,
9133,The Trophies (2),Doggone It / Desire,Challenge,"7"", Promo",,1961,7292769,Record Collection #104,2025-10-03 13:28:32,,,
CRS-5302,Heritage Singers USA,Thinking Back:  100 Year Old Gospel Favorites,Chapel,"LP, Album",,1976,13886558,Record Collection #111,2026-01-23 19:10:42,,,A
CAR-6006,The Cam Floria Voices And Brass,The Sky Shall Unfold,Christian Artists Records,"LP, Album",,1981,4015559,Record Collection #113,2026-02-06 09:44:20,5,,A
CH2 1269,Ian Hunter,Welcome To The Club - Live,Chrysalis,"2xLP, Album, San",,1980,2378998,Record Collection #114,2026-03-31 08:54:09,5,,A
CHR 1089,Robin Trower,Robin Trower Live!,Chrysalis,"LP, Album",,1976,2156230,Individual Find,2025-12-12 08:52:06,5,,A
CHR-1148,Robin Trower,In City Dreams,Chrysalis,"LP, Album, San",,1977,1360193,Record Collection #103,2025-08-29 08:26:33,,,
"CHR-1175, CHR 1175",Jethro Tull,Heavy Horses,"Chrysalis, Chrysalis","LP, Album, San",,1978,652122,Record Collection #111,2026-01-25 10:03:35,,,
1822919852,Judah & The Lion,Pep Talks,Cletus The Van Records,"LP + LP, S/Sided, Etch + Album, Ran",,2019,13580896,Record Collection #117,2026-04-02 15:25:35,50,,A
none,Judah & The Lion,Folk Hop N' Roll,Cletus The Van Records,"LP, Album",,2016,9559894,Record Collection #117,2026-04-02 15:27:34,20,,A
4-42336,Ronnie Mitchell,It's The Talk Of The Town / I Dreamed I Joined The Choir,Columbia,"7"", Promo",,0,23242985,Record Collection #104,2025-09-17 08:48:30,,,
C 30411,Lynn Anderson,Rose Garden,Columbia,"LP, Album, Ter",,1971,2573292,Record Collection #111,2026-01-23 18:50:22,,,A
C 30662,Vikki Carr,Vikki Carr's Love Story,Columbia,"LP, Album",,1971,1821756,Record Collection #111,2026-01-23 13:32:14,,,A
C 30957,Lynn Anderson,The Christmas Album,Columbia,"LP, Album",,0,14311435,Record Collection #111,2026-01-23 13:26:24,5,,A
C2 32810,Chicago (2),Chicago VII,Columbia,"2xLP, Album, Ter",,1974,941531,Record Collection #117,2026-04-02 15:11:23,5,,A
