Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
DO-2079,Freddy Fender (2),The Best Of Freddy Fender,MCA Records,"LP, Comp, RE, Pin",,0,19297321,Record Collection #111,2026-01-25 10:11:04,,,
MCA 15037,Freddy Fender (2),Christmas Time In The Valley,MCA Records,LP,,1991,6522226,Record Collection #111,2026-01-25 10:17:16,,,A
MCA-15024,Bing Crosby,Merry Christmas,MCA Records,"LP, RE, Tan",,1977,1901214,Record Collection #109,2026-01-19 07:59:44,,,
MCA-1599,Steppenwolf,16 Greatest Hits,MCA Records,"LP, Comp, Club",,0,7174888,Record Collection #117,2026-04-02 14:05:54,10,,A
MCA-2148,Olivia Newton-John,Clearly Love,MCA Records,"LP, Glo",,1975,1388290,Record Collection #98,2026-04-01 22:23:20,,,A
MCA-2286,B.J. Thomas,B.J. Thomas,MCA Records,"LP, Pin",,1977,1381502,Record Collection #111,2026-01-23 17:51:07,,,A
MCA-2314,Merle Haggard,My Farewell To Elvis,MCA Records,"LP, Album, Pin",,1977,12246502,Record Collection #111,2026-01-25 09:50:29,5,,A
MCA-371,Dobie Gray,Loving Arms,MCA Records,"LP, Album, Pin",,1973,10255500,Record Collection #105,2025-09-22 07:28:59,,,
MCA-389,Olivia Newton-John,Let Me Be There,MCA Records,"LP, Album, Pin",,1973,2746730,Record Collection #106,2025-10-24 14:12:14,,,
MCA-390,Marvin Hamlisch,The Sting (Original Motion Picture Soundtrack),MCA Records,"LP, Glo",,1974,1585386,Record Collection #117,2026-04-02 15:15:12,3,,A
MCA-39066,"Leslie Bricusse, John Williams (4)","Goodbye, Mr Chips (Original Motion Picture Soundtrack)",MCA Records,"LP, Album, RE",,1986,8291316,Record Collection #111,2026-01-25 15:51:08,7,,A
MCA-5104,Elton John,Victim Of Love,MCA Records,"LP, Album, Mon",,1979,8808179,Record Collection #114,2026-03-06 09:11:14,5,,A
MCA-5130,Rossington Collins Band,"Anytime, Anyplace, Anywhere",MCA Records,"LP, Album, Glo",,1980,2136532,Record Collection #93,2025-05-20 13:51:39,,,A
MCA-5136,Barbara Mandrell,Love Is Fair,MCA Records,"LP, Album, Pin",,1980,1902501,Record Collection #111,2026-01-23 13:47:15,,,A
MCA-5185,Lalo Schifrin,The Competition (Music From The Original Motion Picture Soundtrack),MCA Records,LP,,1981,1367664,Record Collection #98,2025-07-08 10:53:26,,,A
MCA-5243,Barbara Mandrell,Live,MCA Records,"LP, Album, Glo",,1981,3379109,Record Collection #106,2025-10-24 14:25:09,,,A
MCA-5243,Barbara Mandrell,Live,MCA Records,"LP, Album, Glo",,1981,3379109,Record Collection #111,2026-01-23 13:50:57,,,A
MCA-5429,The Crusaders,Ghetto Blaster,MCA Records,"LP, Album, Pin",,1984,811601,Record Collection #102,2025-08-11 14:36:58,,,
MCA-5496,The Oak Ridge Boys,Oak Ridge Boys Greatest Hits 2,MCA Records,"LP, Comp, Club",,1984,10436038,Record Collection #111,2026-01-25 15:11:57,,,
MCA-5550,Kim Wilde,Teases & Dares,MCA Records,"LP, Album, Pin",,1985,1351946,Record Collection #100,2025-07-28 14:10:58,,,
MCA-5588,Loose Ends,A Little Spice,MCA Records,"LP, Album, Pin",,1985,714548,Record Collection #102,2025-08-11 13:45:19,,,
MCA-5799,The Oak Ridge Boys,Christmas Again,MCA Records,"LP, Album",,1986,1641142,Record Collection #111,2026-01-23 14:45:43,,,A
"088 155 972-1, 008 115 972-1",Mary J. Blige Featuring Ja Rule,Rainy Dayz,"MCA Records, MCA Records","12""",,2002,1642788,Record Collection #98,2025-07-09 09:23:15,,,A
"42036, MCA 42036",The Oak Ridge Boys,Heartbeat,"MCA Records, MCA Records","LP, Album, Glo",,1987,2893309,Record Collection #111,2026-01-25 10:38:51,,,
"MCA-2176, MCA-627",Conway Twitty,Twitty,"MCA Records, MCA Records","LP, Album, Glo",,1975,15868443,Record Collection #106,2025-10-24 15:36:17,,,A
"MCA-27096, MCA 27096",Frankie Avalon,Best Of Frankie Avalon,"MCA Records, MCA Records","LP, Comp, Club",,1985,16791030,Record Collection #111,2026-01-25 10:13:18,,,A
"MCA-3096, MCA 3096",Don Williams (2),"The Best Of Don Williams, Volume II","MCA Records, MCA Records","LP, Comp, Club, CRC",,0,9545362,Record Collection #106,2025-10-24 14:18:55,,,
"MCA-5305, MCA-1452",Lee Greenwood,Inside Out,"MCA Records, MCA Records, Panorama Records (4)","LP, Album, Pic",,1982,3131585,Record Collection #111,2026-01-23 13:56:07,,,A
MCA-3231,B.J. Thomas,For The Best,"MCA Records, MCA Songbird","LP, Album",,1980,3801632,Record Collection #96,2026-04-01 22:05:08,,,A
MCA-396,Golden Earring,Moontan,"MCA Records, Track Record","LP, Album, RE, Glo",,1974,2569198,Record Collection #114,2026-03-06 18:51:34,,,
422-824309-1 M-1,Leon Everette,Where's The Fire,Mercury,"LP, Album, All",,1985,13671952,Individual Find,2025-10-03 14:27:57,,,
PPS 6012,The Clebanoff Strings,Exciting Sounds,Mercury,"LP, Album",,0,2377355,Record Collection #98,2025-07-08 10:31:37,,,A
SRM-1-2001,Various,Endless Love Original Motion Picture Soundtrack,Mercury,"LP, Comp, Gat",,1981,1846118,Record Collection #106,2025-10-27 19:31:01,,,A
SRM-1-4028,Bar-Kays,Nightcruising,Mercury,"LP, Album, 26 ",,1981,321257,Record Collection #89,2025-05-07 08:09:11,,,
SRM-1-4054,Gary Brooker,Lead Me To The Water,Mercury,"LP, Album, 26 ",,1982,3709801,Record Collection #108,2025-12-30 10:46:01,5,,A
SRM-1-5013,Jacky Ward,Rainbow,Mercury,"LP, Album",,1978,5132873,Record Collection #111,2026-01-28 21:36:27,,,A
SRW 16280,Sarah Vaughan,The Magic Of Sarah Vaughan,Mercury Wing,"LP, Album, RP",,1959,8761163,Record Collection #111,2026-01-30 08:05:06,5,,A
"MGW 12322, MGW. 12322",Leroy Van Dyke,Movin' Van Dyke,"Mercury Wing, Mercury Wing","LP, Album, Mono, RE",,0,7921665,Record Collection #111,2026-01-23 13:39:43,,,A
"SRW 16226, SRW-16226-W",The Platters,The Flying Platters,"Mercury Wing, Mercury Wing","LP, Album, RE",,1962,21136297,Record Collection #111,2026-01-25 16:06:20,,,A
"422-818 835-1 M-1, 818 835-1 M-1",Big Country,Wonderland,"Mercury, Mercury","12"", EP, 26 ",,1984,646108,Record Collection #98,2025-07-08 15:47:55,,,A
"MG-21064, SR-61064",Smothers Brothers,Play It Straight,"Mercury, Mercury","LP, Album, Mono",,1966,3193946,Record Collection #113,2026-02-06 09:07:06,,,
"SR 61054, SR-61054",Horst Jankowski,More Genius Of Jankowski,"Mercury, Mercury","LP, Album",,1965,3635582,Record Collection #111,2026-01-23 16:28:19,,,A
"SR 80005, 80005",Buddy Collette And His Swinging Shepherds,Buddy Collette's Swinging Shepherds,"Mercury, Mercury","LP, Album",,1958,3809327,Record Collection #113,2026-02-02 18:15:51,7,,A
"MER 2001, MGS 2634",Robert Goulet,I Never Did As I Was Told,"Merlin, MGM Records",LP,,1971,1982741,Record Collection #106,2025-10-24 14:54:31,,,A
2353 063 ,Ian & Sylvia,Lovin' Sound,MGM Records,LP,,1972,6207000,Record Collection #96,2026-04-01 21:57:30,,,
E-4167,Connie Francis,The Very Best Of Connie Francis,MGM Records,"LP, Comp, Mono, MGM",,1963,2938250,Record Collection #111,2026-02-06 12:24:48,,,A
M3G -4978,Donny Osmond,Donny,MGM Records,"LP, Pre",,1974,2548527,Record Collection #106,2025-10-24 14:59:05,,,
M3G-4993,The Osmonds,The Proud One,MGM Records,"LP, Album, Pit",,1975,5049584,Record Collection #106,2025-10-24 14:58:31,,,A
SE 4608,Wayne Newton,"Live At The Frontier, Las Vegas",MGM Records,LP,,1969,3967454,Record Collection #106,2025-10-24 15:35:30,,,
SE-4168,Hank Williams,The Very Best Of Hank Williams,MGM Records,"LP, Comp",,1963,6182966,Record Collection #111,2026-01-28 21:33:08,,,
M3G 4968,Donny & Marie Osmond,I'm Leaving It All Up To You,"MGM Records, Kolob Records","LP, Album",,1974,11127908,Record Collection #106,2025-10-17 18:39:31,,,
M3G 4968,Donny & Marie Osmond,I'm Leaving It All Up To You,"MGM Records, Kolob Records","LP, Album, Club",,1974,13286432,Record Collection #106,2025-10-24 15:04:48,,,A
"SE 4886, SE-4886",Donny Osmond,Alone Together,"MGM Records, Kolob Records","LP, Album",,1973,13845213,Record Collection #106,2025-10-24 15:23:08,,,
SE 4979,Marie Osmond,Who's Sorry Now,"MGM Records, Kolob Records","LP, Album",,1975,20354023,Record Collection #106,2025-10-27 19:25:15,5,,A
"2SE-4826, 2 SE 4826",The Osmonds,The Osmonds Live,"MGM Records, MGM Records","2xLP, Gat",,1972,19365736,Record Collection #106,2025-10-27 19:27:06,,,A
"M3G-4993, M3G 4993",The Osmonds,The Proud One,"MGM Records, MGM Records","LP, Album, H.V",,1975,14634305,Record Collection #106,2025-10-17 15:14:57,,,A
"SE 4782, SE-4782",Donny Osmond,The Donny Osmond Album,"MGM Records, MGM Records","LP, Album",,1971,2044323,Record Collection #106,2025-10-24 15:22:25,,,
"SE 4782, SE-4782",Donny Osmond,The Donny Osmond Album,"MGM Records, MGM Records","LP, Album",,1971,2044323,Record Collection #106,2025-10-27 19:39:27,,,
SE 4820,Donny Osmond,Portrait Of Donny,"MGM Records, MGM Records","LP, Album",,1972,23877482,Record Collection #106,2025-10-24 15:04:08,,,
"SE 4859, SE-4859",Petula Clark,Now,"MGM Records, MGM Records",LP,,1972,3126632,Record Collection #111,2026-01-25 10:40:32,,,A
"SE-4549, SE4549",Wayne Newton,One More Time,"MGM Records, MGM Records",LP,,1968,5930035,Record Collection #106,2025-10-24 15:34:14,,,A
"SE-4724, SE4724",The Osmonds,Osmonds,"MGM Records, MGM Records","LP, Album, MGM",,1971,1534474,Record Collection #106,2025-10-17 15:25:52,,,A
"SE-4797, SE 4797",Donny Osmond,"To You With Love, Donny","MGM Records, MGM Records","LP, Album",,1971,6251212,Record Collection #106,2025-10-24 14:39:13,,,
"SE-4797, SE 4797",Donny Osmond,"To You With Love, Donny","MGM Records, MGM Records","LP, Album",,1971,11071003,Record Collection #106,2025-10-27 19:34:38,,,
A 120 061,Vladimir Cosma,Diva (Bande Originale Du Film),Milan,"LP, Album, Bla",,1981,8969451,Record Collection #95,2025-06-04 10:53:23,,,A
M-9074,Sonny Rollins,The Way I Feel,Milestone (4),"LP, Album, San",,1977,25738108,Record Collection #115,2026-03-19 08:48:13,7,,A
WTG 19327,Kano,New York Cake,"Mirage (2), Emergency Records","LP, Album, SP ",,1981,32797002,Record Collection #114,2026-03-13 06:40:14,10,,A
SLP 18144,Boots Randolph,Hit Boots,Monument,LP,,1970,10170289,Uncategorized,2026-01-19 10:09:29,,,
Z 30678,Boots Randolph,"Homer Louis Randolph, III",Monument,"LP, Album",,0,23469035,Record Collection #111,2026-01-25 10:25:05,,,A
6007ML,Lionel Richie,Lionel Richie,Motown,"LP, Album, Sup",,1982,926898,Record Collection #98,2025-07-09 10:26:17,,,
6062ML,Various,The Big Chill (Original Motion Picture Soundtrack),Motown,"LP, Comp",,1983,6246490,Record Collection #113,2026-02-02 18:45:56,,,
M7-925R1,Billy Preston,Late At Night,Motown,"LP, Album, SRP",,1979,865840,Record Collection #100,2025-07-28 14:02:12,,,A
"S-724, MS724",Diana Ross,Everything Is Everything,"Motown, Motown","LP, Album, Hol",,1970,12079990,Record Collection #111,2026-01-23 18:31:38,,,
MW 102L,Thelma Houston,Thelma Houston,MoWest,"LP, Album",,1972,4780420,Record Collection #98,2026-04-01 22:32:02,,,A
SPC 1506,Los Mensajeros De La Alegria,Navidades Blancas (White Christmas),Mr. Pickwick,"LP, Album",,1973,9560220,Record Collection #111,2026-01-23 19:17:15,5,,A
NWI 2791,Mark Jorg,Come Home My Son,Mt. Angel Abbey,"LP, Album",,1970,6103424,Individual Find,2026-01-13 08:06:03,10,,A
"MRS-5012, MRS 5012",Iain Matthews,Stealin' Home,"Mushroom Records (5), Mushroom Records (5)","LP, Album, Com",,1978,11168023,Record Collection #106,2025-11-21 07:09:03,,,A
MOVLP2671,Gloria Estefan,"Hold Me, Thrill Me, Kiss Me","Music On Vinyl, Epic","LP, Album, Ltd, Num, RE, Whi",,2023,28781485,Record Collection #111,2026-03-31 23:38:58,20,,A
MHS 7065K,Duke Ellington And His Orchestra,Up In Duke's Workshop,Musical Heritage Society,LP,,1985,3973554,Record Collection #117,2026-04-02 16:15:31,5,,A
"MHS 7177K, MHS 7177","Herb Ellis, Joe Pass",Two For The Road,"Musical Heritage Society, Musical Heritage Society","LP, Album, RE",,1985,4813132,Record Collection #117,2026-04-02 16:18:14,5,,A
MS 3251,The Platters,The Golden Hits Of The Platters,Musicor Records,"LP, Comp",,1973,11177724,Record Collection #111,2026-01-23 18:27:27,,,
MS-3116,George Jones (2),George Jones Greatest Hits,Musicor Records,"LP, Comp, RE",,1967,9180354,Record Collection #106,2025-10-17 16:51:18,,,
"MS 3102, MS3102",Gene Pitney,Greatest Hits Of All Times,"Musicor Records, Musicor Records","LP, Comp, Pit",,1966,33382124,Record Collection #111,2026-01-23 14:14:16,,,A
9637-1,Yeasayer,Amen & Goodbye,Mute,"LP, Album, 180",,2016,8324601,Individual Find,2025-11-05 07:39:31,,,
7-01-681506-4,Don Francisco (2),One Heart At A Time,Myrrh,"LP, Album",,1985,12072552,Record Collection #111,2026-01-23 14:43:20,5,,A
MSB-6574,B.J. Thomas,Home Where I Belong,Myrrh,"LP, Album, Gat",,1976,1522967,Record Collection #111,2026-01-23 16:32:31,,,A
MSB-6593,B.J. Thomas,Happy Man,Myrrh,LP,,1978,13169818,Record Collection #111,2026-01-23 15:17:42,,,A
60153-1,Toronto (4),Get It On Credit,"Network Records (2), Solid Gold Records (2)","LP, Album, Promo",,1982,8598897,Individual Find,2025-10-06 11:26:19,,,
NP33010,Don Francisco (2),Brother Of The Son,NewPax,LP,,1976,2058647,Record Collection #111,2026-01-23 15:10:48,5,,A
NP33106,Don Francisco (2),The Traveler,NewPax,"LP, Album",,1981,16066295,Record Collection #111,2026-01-23 13:22:34,7,,A
NP33144,Don Francisco (2),Holiness,NewPax,"LP, Album",,1984,1251210,Record Collection #111,2026-01-23 14:36:42,5,,A
none,The Four R's,Sacred Seasons,Not On Label,LP,,1983,2214447,Record Collection #96,2026-04-01 21:32:41,,,A
none,Young Ambassadors,A Brand New Day,Not On Label,LP,,0,15105275,Record Collection #96,2026-04-01 21:45:31,,,A
USR 7560,Young Country,Young Country,Not On Label,"LP, Album",,1974,11533620,Record Collection #103,2025-08-29 07:45:50,,,
yourmeteor001,Your Meteor,Byzantium,Not On Label,"LP, Album",,2015,27578067,Record Collection #105,2025-10-06 07:32:35,10,,A
none,Harvi Griffin,The Voice And Harp,Not On Label (Harvi Griffin Self-released),"LP, Album",,1970,5913093,Record Collection #114,2026-03-31 23:25:31,7,,A
Z12 44014,Spirit (8),The Family That Plays Together,Ode Records (2),"LP, Album, Pit",,1968,1271736,Record Collection #113,2026-02-01 11:55:57,5,,A
"Z12 44004, Z 1244004",Spirit (8),Spirit,"Ode Records (2), Ode Records (2)","LP, Album, San",,1968,7950831,Record Collection #106,2025-10-17 17:45:22,,,
OKS 14111,The Vibrations,Shout!,Okeh,"LP, Album",,1965,4491941,Record Collection #86,2025-04-06 12:46:37,15,,A
LF904,Cris Williamson,The Changer And The Changed,Olivia Records (2),"LP, Album, RE",,1975,3164766,Record Collection #105,2025-09-22 19:44:34,,,A
RBN-1-7074,Rand And Betty,Crisp Country Mornin',Oreana Enterprises,"LP, Album",,1977,14043456,Individual Find,2025-07-28 05:59:30,15,,A
LP 128,Apricot Music Pit Band,Jazzmania,Orion (5),"LP, Mono",,0,5934052,Individual Find,2026-01-13 07:50:47,,,
OV-1719,The Kendalls,Heaven's Just A Sin Away,Ovation Records,"LP, Album, Club, RE, RCA",,1976,1424808,Record Collection #109,2026-01-19 09:49:37,,,A
OV-1733,The Kendalls,Old Fashioned Love,Ovation Records,"LP, Album, Club, Ter",,1978,17508127,Record Collection #109,2026-01-19 09:47:41,,,A
PR 33056,Truth (31),Now... This Is Christmas,Paragon (5),"LP, Album",,1978,6922477,Record Collection #111,2026-01-25 09:59:38,5,,A
"7214, PB 7214",Cabbage Patch Kids,A Cabbage Patch Christmas,"Parker Brothers Music, Parker Brothers Music","LP, Album",,1984,1216743,Record Collection #89,2025-05-07 07:10:56,,,
XPAS 71012,Engelbert Humperdinck,Release Me,Parrot,"LP, Album",,1967,9642285,Record Collection #111,2026-01-23 13:36:16,,,A
XPAS 71048,Engelbert Humperdinck,"Another Time, Another Place",Parrot,"LP, Album, Ter",,1971,19081597,Record Collection #111,2026-01-23 13:30:29,,,A
"FZ 38443, PASHA 6",Quiet Riot,Metal Health,"Pasha, Pasha","LP, Album, Pit",,1983,12291703,Record Collection #106,2025-10-24 14:26:40,,,
LPS 2214,Justin Wilson,Hunting With Justin Wilson,Paula Records,LP,,1972,2510491,Record Collection #109,2026-01-19 09:54:24,,,
PR 7142,Dan Siegel,Reflections,Pausa Records,"LP, Album",,1983,4403645,Record Collection #108,2026-01-19 07:06:32,,,
PR 7185,Les Hooper,Hoopla,Pausa Records,"LP, Album",,1985,3094323,Record Collection #101,2025-08-05 09:55:42,5,,A
PIAPTK - 248,S.M. Wolf,Bad Ocean,People In A Position To Know,"LP, Album, Sky",,2018,11974260,Record Collection #102,2025-08-11 15:21:17,7,,A
PLP-5,Floyd Westerman,Custer Died For Your Sins,Perception Records (5),"LP, Album, Gat",,1969,1896274,Record Collection #108,2026-01-30 08:23:29,7,,A
8206,Irwin The Disco Duck And The Wibble Wabble Singers And Orchestra,Duck Wars: Big Hits Dance Party,Peter Pan Records,"LP, Album",,1978,922508,Record Collection #106,2025-10-17 14:47:07,,,
KZ 32707,MFSB,Love Is The Message,Philadelphia International Records,"LP, Album",,1973,365838,Individual Find,2026-03-23 07:09:34,,,
KZ 33157,Billy Paul,Got My Head On Straight,Philadelphia International Records,"LP, Album, San",,1975,1849696,Record Collection #89,2025-05-07 07:57:19,7,,A
"ST-53029, ST53029",Phyllis Hyman,Living All Alone,"Philadelphia International Records, Philadelphia International Records","LP, Album",,1986,712215,Record Collection #102,2025-08-11 14:09:18,5,,A
PHS 600-248,Paul Mauriat And His Orchestra,Blooming Hits,Philips,"LP, Album",,1967,2373459,Record Collection #98,2025-07-08 08:24:23,,,A
PHS 600-342,The Mystic Moods Orchestra,Stormy Weekend,Philips,"LP, Album, RE",,1971,4848870,Record Collection #96,2026-04-01 22:11:29,,,
SPC 1012,Various,Country Christmas,Pickwick,"LP, Album, Comp",,0,1624479,Record Collection #109,2026-01-19 08:57:17,,,A
"CAS 1068, CAS-1068",Various,Rudolph The Red-Nosed Reindeer,"Pickwick, Camden","LP, Album, RE",,0,10871418,Record Collection #106,2025-10-17 17:41:54,,,
SPC-3091,Jackie Gleason,The Most Beautiful Girl In The World,Pickwick/33 Records,"LP, Comp, RE",,1967,13876971,Record Collection #111,2026-01-30 08:30:21,,,
SPC-3134,Glen Campbell,A Satisfied Mind,Pickwick/33 Records,"LP, Comp",,1968,7586235,Record Collection #102,2025-08-11 17:53:03,,,
SPC-3134,Glen Campbell,A Satisfied Mind,Pickwick/33 Records,"LP, Comp",,1968,7586235,Record Collection #106,2025-10-24 15:21:36,,,
SPC-3261,Brian Hyland,Young Years,Pickwick/33 Records,"LP, Album, RE",,0,33173751,Record Collection #111,2026-01-30 08:40:29,,,
"SPC 3273, SPC-3273",Nancy Wilson,Goin' Out Of My Head,"Pickwick/33 Records, Pickwick/33 Records","LP, Album, RE",,0,1015020,Record Collection #111,2026-01-30 07:45:37,,,A
"SPC-3326, SPC 3326",Dionne Warwick,Make It Easy On Yourself,"Pickwick/33 Records, Pickwick/33 Records","LP, Comp",,0,27026739,Record Collection #111,2026-01-30 07:55:27,,,A
PLP 67,The Association (2),Greatest Hits,Platinum (2),LP,,0,3345461,Record Collection #111,2026-01-28 21:20:34,,,
PD-1-6202,Pat Travers Band,...Live! Go For What You Know,Polydor,"LP, Album, 26 ",,1979,7317551,Record Collection #93,2025-05-20 08:30:57,,,"A
"
"PD 6068, 2391 220",Donny & Marie Osmond,Featuring Songs From Their Television Show,"Polydor, Kolob Records","LP, Album, Mon",,1976,21424354,Record Collection #106,2025-10-17 15:32:36,,,A
PD-1-6083,Donny & Marie Osmond,New Season,"Polydor, Kolob Records","LP, Album, Mon",,1976,31835003,Record Collection #106,2025-10-17 15:29:22,,,A
PD-1-6099,Marie Osmond,This Is The Way That I Feel,"Polydor, Kolob Records","LP, Album, Pit",,1977,1552777,Record Collection #106,2025-10-27 19:24:10,,,A
"PD-1-6127, 2391 325",Donny & Marie Osmond,Winning Combination,"Polydor, Kolob Records","LP, Album, Mon",,1977,20790967,Record Collection #106,2025-10-17 15:18:16,,,A
"25-3002, 2673 003",John Mayall,Back To The Roots,"Polydor, Polydor","2xLP, Album, Ind",,1971,35799115,Record Collection #111,2026-01-28 21:44:09,,,A
"PD-1-6140, 2391 342",James Brown,Jam/1980's,"Polydor, Polydor","LP, Album, PRC",,1978,879090,Record Collection #89,2025-05-07 07:59:14,,,
"PO-281, PO 281",Billy 'Crash' Craddock,I'm Tore Up,"Power Pak, Power Pak","LP, Album, RE",,1975,7031512,Record Collection #111,2026-01-30 08:39:21,7,,A
PRL 14112,D-Train,Something's On Your Mind,Prelude Records,"LP, Album",,1984,462484,Record Collection #89,2025-05-07 07:21:38,,,
PR 24019,Stan Getz,Stan Getz,Prestige,"2xLP, Comp, Pit",,1972,22261516,Record Collection #116,2026-03-24 06:35:37,7,,A
PS 2013,Starbuck (2),Moonlight Feels Right,Private Stock,"LP, Album, Ter",,1976,7436123,Record Collection #114,2026-02-27 09:26:24,,,
"PR/5039SD, PR 5039 QD",The World's Greatest Jazzband Of Yank Lawson & Bob Haggart,Extra!,"Project 3, Project 3","LP, Album, Quad",,0,8749049,Record Collection #103,2025-08-29 09:36:30,,,A
"1-23970, 9 23970-1",James Ingram,It's Your Night,"Qwest Records, Qwest Records","LP, Album, RP, Win",,0,12983550,Record Collection #98,2025-07-09 10:16:48,,,A
MR-1042,Tommy Dorsey / Eddie Condon,Tommy Dorsey On Radio / Eddie Condon's Jazz Concert,Radiola,LP,,1975,4296803,Record Collection #93,2025-05-20 15:14:14,,,A
RAG-1018,Country Joe McDonald,Childs Play,Rag Baby Records,LP,,1983,1688144,Record Collection #108,2025-12-30 12:05:53,5,,A
"R8080, R-8080",The Exotic Guitars,Exotic Country Music,"Ranwood, Ranwood","LP, Album, Mon",,1970,3156723,Record Collection #106,2025-10-17 15:50:29,,,
R 534D,Rare Earth,Rare Earth In Concert,Rare Earth,"2xLP, Album, Hol",,1971,2985285,Record Collection #106,2025-10-24 14:17:25,5,,A
AJL1-7023,Kenny Rogers,The Heart Of The Matter,RCA,"LP, Album",,1985,3030279,Record Collection #106,2025-10-24 14:45:26,,,
ANL1-3014,Jim Reeves,Pure Gold - Volume One,RCA,"LP, Comp, Ind",,1978,9854139,Record Collection #111,2026-01-23 14:47:27,,,A
APL1-0346,Porter Wagoner,The Farmer,RCA,"LP, Album",,1973,4513184,Record Collection #98,2026-04-01 22:35:13,,,A
APL1-2399,Jim Ed Brown & Helen Cornelius,Born Believer,RCA,"LP, Album",,1977,5980877,Record Collection #111,2026-02-06 12:33:54,,,A
CAS 1095,Dr. Seuss,Dr. Seuss Presents The Cat In The Hat Songbook,RCA Camden,LP,,1967,3440157,Record Collection #103,2025-08-29 08:20:58,,,
CAS-2191,Porter Wagoner,"Green, Green Grass Of Home",RCA Camden,"LP, Comp, Roc",,1968,15130068,Record Collection #109,2026-01-19 09:19:12,,,A
CAS-2228,Peter Nero,If Ever I Would Leave You,RCA Camden,"LP, Album, RE",,1968,7803795,Record Collection #111,2026-01-30 07:53:56,,,A
CAS-2243,The Bluegrass Banjo Pickers,Foggy Mountain Breakdown And Other Music From The Bonnie And Clyde Era,RCA Camden,LP,,1968,3530935,Record Collection #98,2025-07-08 08:19:44,,,A
CAS-2523,"Chet Atkins, Floyd Cramer, Boots Randolph","Chet, Floyd & Boots",RCA Camden,"LP, Comp, Hol",,1971,4790844,Record Collection #98,2026-04-01 22:27:36,,,A
CAS-2555,Chet Atkins,Nashville Gold,RCA Camden,"LP, Album, Hol",,1972,12048484,Record Collection #106,2025-10-24 15:31:20,,,
CAS-2600,Chet Atkins,Finger Pickin' Good,RCA Camden,"LP, Comp, RM, Hol",,1972,27102783,Record Collection #106,2025-10-24 15:10:07,,,A
CAS-659 (e),Chet Atkins,The Early Years Of Chet Atkins And His Guitar,RCA Camden,"LP, Album, RE",,0,2362579,Record Collection #106,2025-10-27 19:31:56,,,A
FW-302,Pyotr Ilyich Tchaikovsky,The Pathétique - Sixth Symphony,RCA Custom,"LP, Album",,1977,2234179,Record Collection #111,2026-01-23 13:10:03,,,A
FW-303,Wolfgang Amadeus Mozart,"The Piano Concerto In B Flat / Overtures: Cosi Fan Tutte, The Impresario, The Magic Flute, Don Giovanni",RCA Custom,"LP, Album, Comp",,1976,2217447,Record Collection #111,2026-01-23 15:14:16,,,A
RD4A-186-1,"John Gregory & The Orchestra Unlimited, Danny Street And The Young World Singers, The Young World Singers",The Best Songs Of The Year 1980,RCA Custom,"LP, Album",,1980,8373135,Record Collection #106,2025-10-24 15:30:26,,,
R114285,John McCarthy Chorus,The Greatest Songs Of Christmas,RCA Music Service,"LP, Album, Club, RE",,1973,3981457,Record Collection #109,2026-01-19 09:06:07,,,A
DPL1-0608,Various,True Value Happy Holidays Volume 18,RCA Special Products,"LP, Comp",,1983,4872193,Record Collection #106,2025-10-17 15:55:26,,,
DVL 1-0584,Wilf Carter,Montana Slim - All Time Favorites,RCA Special Products,"LP, Comp",,1983,4639588,Record Collection #98,2026-04-01 21:58:11,,,
AFL1-4381,Tané Cain,Tané Cain,RCA Victor,"LP, Album",,1982,14153858,Record Collection #93,2025-05-20 14:35:13,,,A
AFL1-4725,Evelyn King,Face To Face,RCA Victor,"LP, Album",,1983,1038894,Record Collection #89,2025-05-07 07:08:49,,,
AHL1-4059,Louise Mandrell And R.C. Bannon,Me And My RC,RCA Victor,"LP, Album, Ind",,1982,7584254,Record Collection #111,2026-01-28 21:50:56,,,A
APL1-0217,Charley Pride,Sweet Country,RCA Victor,"LP, Album, Hol",,1973,2518673,Record Collection #109,2026-01-19 08:41:57,,,
APL1-0757,Charley Pride,Pride Of America,RCA Victor,"LP, Album",,1974,2188889,Record Collection #109,2026-01-19 08:53:03,,,A
APL1-0846,Ronnie Milsap,A Legend In My Time,RCA Victor,"LP, Album, Ind",,1975,4338731,Record Collection #106,2025-10-17 15:45:14,,,A
APL1-2260,Charlie Rich,Big Boss Man / My Mountain Dew,RCA Victor,"LP, Comp",,1977,6158857,Record Collection #109,2026-01-19 08:28:33,,,A
APL1-2781,Jim Ed Brown & Helen Cornelius,I'll Never Be Free,RCA Victor,"LP, Album",,1978,2512401,Record Collection #111,2026-01-28 21:29:48,,,A
APM1-1675,Elvis Presley,The Sun Sessions,RCA Victor,"LP, Comp, Mono, RE",,1976,4698773,Record Collection #111,2026-01-23 13:01:25,,,
AYL1-3845,Kate Smith (2),The Best Of Kate Smith,RCA Victor,"LP, Comp, RE",,0,3344478,Record Collection #111,2026-01-28 21:42:08,,,A
CPL2-1014,Various,In Concert With Host Charley Pride,RCA Victor,"2xLP, Album, Ind",,1975,1587568,Record Collection #109,2026-01-19 08:37:40,,,
LPM 1323,Tony Travis (2),I See Your Face Before Me,RCA Victor,"LP, Mono",,1957,11131528,Record Collection #111,2026-02-06 13:34:41,A,,A
